Month,building_class_category ,predicted_Sales_Price _mean
1/1/2017,ONE FAMILY HOMES,900055.00
2/1/2017,ONE FAMILY HOMES,827508.00
3/1/2017,ONE FAMILY HOMES,850845.00
4/1/2017,ONE FAMILY HOMES,859891.00
5/1/2017,ONE FAMILY HOMES,852753.00
6/1/2017,ONE FAMILY HOMES,865472.00
1/1/2017,TWO FAMILY HOMES,1001037.00
2/1/2017,TWO FAMILY HOMES,977546.00
3/1/2017,TWO FAMILY HOMES,953717.00
4/1/2017,TWO FAMILY HOMES,947530.00
5/1/2017,TWO FAMILY HOMES,989701.00
6/1/2017,TWO FAMILY HOMES,988577.00
1/1/2017,THREE FAMILY HOMES,1164498.00
2/1/2017,THREE FAMILY HOMES,1166381.00
3/1/2017,THREE FAMILY HOMES,1175684.00
4/1/2017,THREE FAMILY HOMES,1172140.00
5/1/2017,THREE FAMILY HOMES,1159109.00
6/1/2017,THREE FAMILY HOMES,1233013.00
